ts,cwnd,rtx,txq,if,rcvd
3.720000,2,0,0,2,0
3.740000,2,0,0,2,0
3.760000,2,0,0,2,0
3.780000,2,0,203,2,1
3.800000,3,0,1812,3,2
3.820000,3,0,1809,3,2
3.840000,3,0,1806,3,2
3.860000,3,0,1803,3,2
3.880000,3,0,1801,3,2
3.900000,3,0,1798,3,2
3.920000,3,0,1795,3,2
3.940000,3,0,1792,3,2
3.960000,3,0,1789,3,2
3.980000,3,0,1787,3,2
4.000000,3,0,1784,3,2
4.020000,3,0,1781,3,2
4.040000,3,0,1778,3,2
4.060000,3,0,1776,3,2
4.080000,3,0,1773,3,2
4.100000,3,0,1770,3,2
4.120000,3,0,1767,3,2
4.140000,3,0,1764,3,2
4.160000,3,0,1762,3,2
4.180000,3,0,1759,3,2
4.200000,3,0,1756,3,2
4.220000,3,0,1753,3,2
4.240000,3,0,1751,3,2
4.260000,3,0,1748,3,2
4.280000,3,0,1745,3,2
4.300000,3,0,1742,3,2
4.320000,3,0,1739,3,2
4.340000,3,0,1737,3,2
4.360000,3,0,1734,3,2
4.380000,3,0,1731,3,2
4.400000,3,0,1728,3,2
4.420000,3,0,1726,3,2
4.440000,3,0,1723,3,2
4.460000,3,0,1720,3,2
4.480000,3,0,1717,3,2
4.500000,3,0,1714,3,2
4.520000,3,0,1712,3,2
4.540000,3,0,1709,3,2
4.560000,3,0,1706,3,2
4.580000,3,0,1703,3,2
4.600000,3,0,1701,3,2
4.620000,3,0,1698,3,2
4.640000,3,0,1695,3,2
4.660000,3,0,1692,3,2
4.680000,3,0,1689,3,2
4.700000,3,0,1687,3,2
4.720000,3,0,1684,3,2
4.740000,3,0,1681,3,2
4.760000,3,0,1678,3,2
4.780000,3,0,1676,3,2
4.800000,3,0,1673,3,2
4.820000,3,0,1670,3,2
4.840000,3,0,1667,3,2
4.860000,3,0,1664,3,2
4.880000,3,0,1662,3,2
4.900000,3,0,1659,3,2
4.920000,3,0,1656,3,2
4.940000,3,0,1653,3,2
4.960000,3,0,1651,3,2
4.980000,3,0,1648,3,2
5.000000,3,0,1645,3,2
5.020000,3,0,1642,3,2
5.040000,3,0,1639,3,2
5.060000,3,0,1637,3,2
5.080000,3,0,1634,3,2
5.100000,3,0,1631,3,2
5.120000,3,0,1628,3,2
5.140000,3,0,1626,3,2
5.160000,3,0,1623,3,2
5.180000,3,0,1620,3,2
5.200000,3,0,1617,3,2
5.220000,3,0,1614,3,2
5.240000,3,0,1612,3,2
5.260000,3,0,1609,3,2
5.280000,3,0,1606,3,2
5.300000,3,0,1603,3,2
5.320000,3,0,1601,3,2
5.340000,3,0,1598,3,2
5.360000,3,0,1595,3,2
5.380000,3,0,1592,3,2
5.400000,3,0,1589,3,2
5.420000,3,0,1587,3,2
5.440000,3,0,1584,3,2
5.460000,3,0,1581,3,2
5.480000,3,0,1578,3,2
5.500000,3,0,1576,3,2
5.520000,3,0,1573,3,2
5.540000,3,0,1570,3,2
5.560000,3,0,1567,3,2
5.580000,3,0,1564,3,2
5.600000,3,0,1562,3,2
5.620000,3,0,1559,3,2
5.640000,3,0,1556,3,2
5.660000,3,0,1553,3,2
5.680000,3,0,1551,3,2
5.700000,3,0,1548,3,2
5.720000,3,0,1545,3,2
5.740000,3,0,1542,3,2
5.760000,3,0,1539,3,2
5.780000,3,0,1537,3,2
5.800000,3,0,1534,3,2
5.820000,3,0,1531,3,2
5.840000,3,0,1528,3,2
5.860000,3,0,1526,3,2
5.880000,3,0,1523,3,2
5.900000,3,0,1520,3,2
5.920000,3,0,1517,3,2
5.940000,3,0,1514,3,2
5.960000,3,0,1512,3,2
5.980000,3,0,1509,3,2
6.000000,3,0,1506,3,2
6.020000,3,0,1503,3,2
6.040000,3,0,1501,3,2
6.060000,3,0,1498,3,2
6.080000,3,0,1495,3,2
6.100000,3,0,1492,3,2
6.120000,3,0,1489,3,2
6.140000,3,0,1487,3,2
6.160000,3,0,1484,3,2
6.180000,3,0,1481,3,2
6.200000,3,0,1478,3,2
6.220000,3,0,1476,3,2
6.240000,3,0,1473,3,2
6.260000,3,0,1470,3,2
6.280000,3,0,1467,3,2
6.300000,3,0,1464,3,2
6.320000,3,0,1462,3,2
6.340000,3,0,1459,3,2
6.360000,3,0,1456,3,2
6.380000,3,0,1453,3,2
6.400000,3,0,1451,3,2
6.420000,3,0,1448,3,2
6.440000,3,0,1445,3,2
6.460000,3,0,1442,3,2
6.480000,3,0,1439,3,2
6.500000,3,0,1437,3,2
6.520000,3,0,1434,3,2
6.540000,3,0,1431,3,2
6.560000,3,0,1428,3,2
6.580000,3,0,1426,3,2
6.600000,3,0,1423,3,2
6.620000,3,0,1420,3,2
6.640000,3,0,1417,3,2
6.660000,3,0,1414,3,2
6.680000,3,0,1412,3,2
6.700000,3,0,1409,3,2
6.720000,3,0,1406,3,2
6.740000,3,0,1403,3,2
6.760000,3,0,1401,3,2
6.780000,3,0,1398,3,2
6.800000,3,0,1395,3,2
6.820000,3,0,1392,3,2
6.840000,3,0,1389,3,2
6.860000,3,0,1387,3,2
6.880000,3,0,1384,3,2
6.900000,3,0,1381,3,2
6.920000,3,0,1378,3,2
6.940000,3,0,1376,3,2
6.960000,3,0,1373,3,2
6.980000,3,0,1370,3,2
7.000000,3,0,1367,3,2
7.020000,3,0,1364,3,2
7.040000,3,0,1362,3,2
7.060000,3,0,1359,3,2
7.080000,3,0,1356,3,2
7.100000,3,0,1353,3,2
7.120000,3,0,1351,3,2
7.140000,3,0,1348,3,2
7.160000,3,0,1345,3,2
7.180000,3,0,1342,3,2
7.200000,3,0,1339,3,2
7.220000,3,0,1337,3,2
7.240000,3,0,1334,3,2
7.260000,3,0,1331,3,2
7.280000,3,0,1328,3,2
7.300000,3,0,1326,3,2
7.320000,3,0,1323,3,2
7.340000,3,0,1320,3,2
7.360000,3,0,1317,3,2
7.380000,3,0,1314,3,2
7.400000,3,0,1312,3,2
7.420000,3,0,1309,3,2
7.440000,3,0,1306,3,2
7.460000,3,0,1303,3,2
