ts,cwnd,rtx,txq,if,rcvd
3.100000,3000,0,2033,2463,0
3.120000,3000,0,2030,2463,0
3.140000,3000,0,2027,2463,0
3.160000,3000,0,2025,2463,0
3.180000,3000,0,2022,2463,0
3.200000,3000,0,2019,2463,0
3.220000,3000,0,2016,2463,0
3.240000,3000,0,2013,2463,0
3.260000,3000,0,2011,2463,0
3.280000,3000,0,2008,2463,0
3.300000,3000,0,2005,2463,0
3.320000,3000,0,2002,2463,0
3.340000,3000,0,2000,2463,0
3.360000,3000,0,1997,2463,0
3.380000,3000,0,1994,2463,0
3.400000,3000,0,1991,2463,0
3.420000,3000,0,1988,2463,0
3.440000,3000,0,1986,2463,0
3.460000,3000,0,1983,2463,0
3.480000,3000,0,1980,2463,0
3.500000,3000,0,1977,2463,0
3.520000,3000,0,1975,2463,0
3.540000,3000,0,1972,2463,0
3.560000,3000,0,1969,2463,0
3.580000,3000,0,1966,2463,0
3.600000,3000,0,1963,2463,0
3.620000,3000,0,1961,2463,0
3.640000,3000,0,1958,2463,0
3.660000,3000,0,1955,2463,0
3.680000,3000,0,1952,2463,0
3.700000,3000,0,1950,2463,0
3.720000,3000,0,1947,2463,0
3.740000,3000,0,1944,2463,0
3.760000,3000,0,1941,2463,0
3.780000,3000,0,1938,2463,0
3.800000,3000,0,1936,2463,0
3.820000,3000,0,1933,2463,0
3.840000,3000,0,1930,2463,0
3.860000,3000,0,1927,2463,0
3.880000,3000,0,1925,2463,0
3.900000,3000,0,1922,2463,0
3.920000,3000,0,1919,2463,0
3.940000,3000,0,1916,2463,0
3.960000,3000,0,1913,2463,0
3.980000,3000,0,1911,2463,0
4.000000,3000,0,1908,2463,0
4.020000,3000,0,1905,2463,0
4.040000,3000,0,1902,2463,0
4.060000,3000,0,1900,2463,0
4.080000,3000,0,1897,2463,0
4.100000,3000,0,1894,2463,0
4.120000,3000,0,1891,2463,0
4.140000,3000,0,1888,2463,0
4.160000,3000,0,1886,2463,0
4.180000,3000,0,1883,2463,0
4.200000,3000,0,1880,2463,0
4.220000,3000,0,1877,2463,0
4.240000,3000,0,1875,2463,0
4.260000,3000,0,1872,2463,0
4.280000,3000,0,1869,2463,0
4.300000,3000,0,1866,2463,0
4.320000,3000,0,1863,2463,0
4.340000,3000,0,1861,2463,0
4.360000,3000,0,1858,2463,0
4.380000,3000,0,1855,2463,0
4.400000,3000,0,1852,2463,0
4.420000,3000,0,1850,2463,0
4.440000,3000,0,1847,2463,0
4.460000,3000,0,1844,2463,0
4.480000,3000,0,1841,2463,0
4.500000,3000,0,1838,2463,0
4.520000,3000,0,1836,2463,0
4.540000,3000,0,1833,2463,0
4.560000,3000,0,1830,2463,0
4.580000,3000,0,1827,2463,0
4.600000,3000,0,1825,2463,0
4.620000,3000,0,1822,2463,0
